local_topics_sim:analytic,local_topics_sim:innovation,local_topics_sim:technology,global_topics_sim:analytic,global_topics_sim:innovation,global_topics_sim:technology,company,link,tic,edit_sim:analytic,edit_sim:innovation,edit_sim:technology,haskey:analytic,haskey:innovation,haskey:technology,sic,ni
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,gt biopharma inc.,https://www.prnewswire.com/news/gt-biopharma%2C-inc./,GTBP,0.375,1.0,0.75,0.0,1.0,0.0,2834.0,-58.013
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,halozyme therapeutics inc.,https://www.prnewswire.com/news/halozyme-therapeutics%2C-inc./,ANTX,0.75,0.7,1.0,0.0,0.0,1.0,,
0.5,0.5,0.5,-2.4160990715026855,-1.531522512435913,-1.3424129486083984,hawaiian holdings inc.,https://www.prnewswire.com/news/hawaiian-holdings%2C-inc./,HA,0.3,0.5,0.3,0.0,0.0,0.0,4512.0,-144.773
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,heidrick  struggles international inc.,https://www.prnewswire.com/news/heidrick-%26-struggles-international%2C-inc./,HSII,1.0,0.5,0.4,1.0,0.0,0.0,7361.0,72.572
0.5,0.5,1.0,-2.160017490386963,-1.3257968425750732,0.9999998211860657,hollysys automation technologies ltd,https://www.prnewswire.com/news/hollysys-automation-technologies-ltd/,HOLI,0.4,0.6,0.75,0.0,0.0,0.0,3823.0,89.709
0.5,0.5,1.0,-2.242123603820801,-1.5730834007263184,0.9999998211860657,homepoint,https://www.prnewswire.com/news/homepoint/,,0.3333333333333333,0.6,1.0,0.0,0.0,1.0,3577.0,-8.69
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,honeywell,https://www.prnewswire.com/news/honeywell/,HON,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,9997.0,5542.0
0.9999999403953552,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,houghton mifflin harcourt,https://www.prnewswire.com/news/houghton-mifflin-harcourt/,HMHC,0.8888888888888888,0.8,1.0,1.0,0.0,1.0,2731.0,213.578
0.5,1.0,0.9999998807907104,-2.013092041015625,0.9999998211860657,0.9999998211860657,huntsman corporation,https://www.prnewswire.com/news/huntsman-corporation/,HUN,0.4444444444444444,0.7272727272727273,1.0,0.0,0.0,1.0,2860.0,1045.0
0.5,1.0,1.0,-2.235215425491333,0.9999998211860657,0.9999998211860657,hut 8 mining corp,https://www.prnewswire.com/news/hut-8-mining-corp/,HUT,0.4,0.5,1.0,0.0,0.0,1.0,7374.0,-72.71
0.5,1.0,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,iac,https://www.prnewswire.com/news/iac/,IAC,0.375,0.6,1.0,0.0,0.0,1.0,7370.0,597.615
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,ideanomics,https://www.prnewswire.com/news/ideanomics/,SSC,0.625,1.0,1.0,0.0,1.0,1.0,,
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,illumina inc.,https://www.prnewswire.com/news/illumina%2C-inc./,ILMN,0.4444444444444444,0.8,0.4,0.0,0.0,0.0,3826.0,762.0
0.5,0.5,0.5,-2.360797882080078,-1.3257968425750732,-1.3424129486083984,inhibrx inc.,https://www.prnewswire.com/news/inhibrx%2C-inc./,INBX,0.4,0.5,0.23076923076923078,0.0,0.0,0.0,2836.0,-81.768
